competitionid,awayteamleaguepos,hometeamleaguepos,hometeamid,homeleagueid,awayteamform,hometeammatchesplayed,awayteammatchesplayed,stadiumid,fixturedate,fixtureid,fixturetime,awayteamid,hometeamform,awayleagueid
41,4,16,1755,41,10002,28,28,228,161115,151601,61200,300,22000,41
41,1,2,919,41,22222,28,28,249,161115,151602,61200,918,22122,41
41,15,11,1756,41,1,28,28,178,161115,151603,61200,920,20022,41
41,10,6,299,41,10200,28,28,32,161115,151604,61200,1456,2020,41
41,8,9,298,41,2220,28,28,26,161115,151605,61200,922,1220,41
41,5,7,112199,41,2,28,28,228,161115,151606,61200,417,20120,41
41,13,14,917,41,122,28,28,35,161115,151607,61200,1757,21101,41
41,12,3,418,41,22200,28,28,34,161115,151608,61200,1463,2202,41
4,5,8,680,4,20022,14,14,26,161113,152061,74700,230,211,4
4,12,6,1750,4,210,14,14,176,161114,152062,57600,2013,22201,4
4,15,13,670,4,21021,14,14,180,161114,152063,65700,681,22000,4
4,4,9,232,4,12202,14,14,176,161114,152064,74700,673,22010,4
4,1,3,674,4,22222,14,14,178,161115,152065,48600,2014,10221,4
4,7,14,100087,4,201,14,14,228,161115,152066,57600,231,2000,4
4,10,2,229,4,1012,14,14,179,161115,152067,66600,8001,20221,4
4,11,16,100081,4,12,14,14,228,161115,152068,69300,110724,2010,4
350,12,9,112408,350,10102,13,13,149,161114,152338,75600,112883,10020,350
350,17,15,112572,350,10012,13,13,149,161113,152339,75600,112392,210,350
350,5,7,112096,350,1102,13,13,149,161113,152340,64800,607,211,350
350,13,10,113217,350,10220,13,13,149,161114,152341,75600,113058,20211,350
350,14,4,112393,350,12001,13,13,149,161113,152342,64800,113037,21110,350
350,8,6,112390,350,12011,13,13,149,161114,152343,75600,113057,22201,350
350,1,18,113222,350,22222,13,13,149,161114,152344,64800,605,2100,350
350,11,3,112387,350,12020,13,13,345,161114,152345,75600,111674,22021,350
350,16,2,112139,350,2,13,13,179,161113,152346,75600,113060,12222,350
189,9,5,897,189,2100,14,14,249,161114,152575,64800,1713,2020,189
189,1,2,894,189,21122,14,13,33,161114,152576,64800,900,21102,189
189,8,6,1704,189,100,14,13,34,161114,152577,73800,10032,101,189
189,11,7,1862,189,1100,14,13,178,161115,152578,51300,115201,21221,189
189,3,12,896,189,20222,13,14,176,161115,152579,59400,898,20,189
189,10,4,324,189,22002,14,14,178,161115,152580,59400,322,22222,189
68,9,20,746,68,20002,12,12,468,161114,152827,48600,101028,20000,68
68,14,11,110776,68,20210,12,12,179,161114,152828,57600,101007,2022,68
68,8,16,101033,68,2200,12,12,147,161114,152829,57600,111339,10,68
68,17,2,325,68,20000,12,12,261,161114,152830,68400,113142,22220,68
68,3,6,101020,68,20211,12,12,261,161115,152831,48600,101016,2222,68
68,10,7,741,68,20002,12,12,195,161115,152832,57600,101037,222,68
68,5,19,748,68,20202,12,12,147,161115,152833,57600,327,10220,68
68,12,1,326,68,2112,12,12,176,161115,152834,68400,111117,22201,68
68,15,18,101014,68,2022,12,12,178,161116,152835,72000,131389,21010,68
68,4,13,101041,68,2122,12,12,147,161116,152836,72000,436,20210,68
80,4,1,191,80,20222,14,14,176,161114,153207,61200,2017,10221,80
80,11,3,252,80,2,14,14,178,161114,153208,61200,15040,22120,80
80,12,2,209,80,1000,14,14,178,161114,153209,61200,781,22002,80
80,7,6,111822,80,22221,14,14,35,161115,153210,52200,256,1022,80
80,5,10,15009,80,12200,14,14,249,161115,153211,52200,1787,1000,80
80,9,8,254,80,1202,14,14,147,161115,153212,61200,110720,20120,80
1,11,12,2002,1,20102,15,15,35,161113,153405,68400,822,2,1
1,1,8,1443,1,12221,15,15,228,161114,153406,68400,819,120,1
1,2,7,15001,1,21211,15,15,35,161115,153407,64800,269,10,1
1,10,9,1786,1,20110,15,15,228,161115,153408,57600,272,11001,1
1,6,5,1788,1,12212,15,15,178,161115,153409,50400,271,2020,1
1,3,4,270,1,12222,15,15,228,161116,153410,68400,1516,22101,1
13,3,11,1925,13,21202,12,12,450,161114,153627,63000,1,2220,13
13,9,20,1796,13,10002,12,12,336,161114,153628,54000,19,0,13
13,6,14,7,13,22022,12,12,265,161115,153629,59400,11,20212,13
13,12,16,144,13,12102,12,12,328,161116,153630,72000,110,20100,13
13,13,18,1923,13,10020,12,12,228,161114,153631,54000,1799,1010,13
13,2,1,10,13,12212,12,12,246,161114,153632,45000,9,2221,13
13,10,7,13,13,21021,12,12,100,161114,153633,54000,5,12120,13
13,8,15,14,13,10111,12,12,449,161114,153634,54000,1808,11020,13
13,17,19,1794,13,202,12,12,433,161114,153635,54000,1943,21,13
13,5,4,18,13,12202,12,12,409,161115,153636,50400,2,22200,13
60,9,13,1958,60,22101,16,16,228,161110,154015,71100,149,21110,60
60,16,8,1926,60,20002,17,17,249,161107,154092,54000,127,12010,60
60,9,5,361,60,22101,17,16,34,161107,154101,54000,149,1122,60
60,20,3,4,60,10,16,16,261,161114,154103,54000,143,22222,60
60,11,22,1480,60,20021,17,16,32,161114,154104,54000,89,200,60
60,2,23,1936,60,10122,16,16,228,161114,154105,54000,1951,12021,60
60,10,7,91,60,1212,16,16,249,161114,154106,54000,1962,2022,60
60,5,21,112260,60,1122,16,17,34,161114,154107,54000,361,2112,60
60,18,13,1958,60,22021,16,17,228,161114,154108,54000,1917,21110,60
60,6,9,149,60,21210,16,16,32,161114,154109,54000,1932,22101,60
60,15,19,1930,60,1210,16,17,228,161114,154110,54000,1944,1002,60
60,14,4,1938,60,22010,17,17,228,161114,154111,54000,15015,12202,60
60,8,1,1790,60,12010,16,17,112,161114,154112,54000,1926,22121,60
60,17,16,127,60,1001,17,16,228,161114,154113,54000,1928,20002,60
60,24,12,1933,60,10,16,16,228,161114,154114,54000,1793,10110,60
2216,2,8,116013,2216,12222,6,6,340,161108,154475,50400,116009,12,2216
2216,5,1,116010,2216,20121,6,6,28,161107,154476,48600,116343,12222,2216
2216,12,10,116016,2216,20,6,6,265,161108,154477,46800,131283,2010,2216
2216,4,7,116020,2216,22211,6,6,335,161108,154478,54000,116011,21000,2216
2216,6,3,116012,2216,12200,6,6,1,161108,154479,59400,116017,11212,2216
